name,plot_id,diameter_cm,decay_class,notes,transect
fuels_cwd_table_child_big11nov,SECR-THIN-02,52,Rotten,NA,W
fuels_cwd_table_child_big11nov,EAFR-RX-02,19,Sound,NA,N
fuels_cwd_table_child_big11nov,EAFR-RX-07,12,Sound,NA,W
fuels_cwd_table_child_big11nov,EAFR-RX-11-REAL,10,Sound,NA,W
fuels_cwd_table_child_big11nov,EAFR-RX-16,33,Sound,NA,E
fuels_cwd_table_child_big11nov,ATWE-THIN-36,27,Sound,NA,W
fuels_cwd_table_child_big11nov,EAFR-RX-14,19,Rotten,NA,N
fuels_cwd_table_child_big11nov,BIST-RX-01,21,Rotten,NA,E
fuels_cwd_table_child_big11nov,EAFR-RX-11,39,Sound,NA,S
fuels_cwd_table_child_big11nov,ATWE-THIN-39,24,Sound,NA,N
fuels_cwd_table_child_big11nov,SECR-THIN-02REAL,39,Rotten,NA,S
fuels_cwd_table_child_big11nov,ATWE-THIN-29,22,Sound,NA,E
fuels_cwd_table_child_big11nov,EAFR-RX-20,21,Rotten,NA,N
fuels_cwd_table_child_big11nov,ATWE-THIN-29,22,Sound,NA,W
fuels_cwd_table_child_big11nov,SECR-THIN-02REAL,16,Rotten,NA,N
fuels_cwd_table_child_big11nov,EAFR-RX-11-REAL,49,Sound,NA,W
fuels_cwd_table_child_big11nov,ATWE-THIN-37,22,Sound,NA,W
fuels_cwd_table_child_big11nov,BIST-RX-01,8,Sound,NA,N
fuels_cwd_table_child_big11nov,SECR-THIN-02,22,Sound,NA,W
fuels_cwd_table_child_big11nov,GRGR-RX-06,15,Sound,NA,S
fuels_cwd_table_child_big11nov,EAFR-RX-11,23,Rotten,NA,E
fuels_cwd_table_child_big11nov,BIST-RX-03,61,Sound,NA,S
fuels_cwd_table_child_big11nov,GRGR-RX-09,93,Rotten,NA,E
fuels_cwd_table_child_big11nov,EAFR-RX-11-REAL,10,Sound,NA,W
fuels_cwd_table_child_big11nov,EAFR-RX-11-REAL,13,Sound,NA,W
fuels_cwd_table_child_big11nov,BIST-RX-06,12,Sound,NA,S
fuels_cwd_table_child_big11nov,BIST-RX-02,8,Sound,NA,S
fuels_cwd_table_child_big11nov,GRGR-RX-06,19,Rotten,NA,E
fuels_cwd_table_child_big11nov,GRGR-RX-11,48,Sound,NA,W
fuels_cwd_table_child_big11nov,EAFR-RX-22,8.5,Sound,NA,W
fuels_cwd_table_child_big11nov,ATWE-THIN-23,12,Sound,NA,S
fuels_cwd_table_child_big11nov,EAFR-RX-11-REAL,55,Sound,NA,S
fuels_cwd_table_child_big11nov,EAFR-RX-11-REAL,7.7,Sound,NA,W
fuels_cwd_table_child_big11nov,EAFR-RX-17,10,Sound,NA,W
fuels_cwd_table_child_big11nov,BIST-RX-12,21,Rotten,NA,S
fuels_cwd_table_child_big11nov,SECR-PILE-02,11,Sound,NA,N
fuels_cwd_table_child_big11nov,EAFR-RX-11-REAL,27,Sound,NA,S
fuels_cwd_table_child_big11nov,ATWE-THIN-23,8,Sound,NA,N
fuels_cwd_table_child_big11nov,BIST-RX-03,59,Sound,NA,S
fuels_cwd_table_child_big11nov,BIST-RX-13,13,Sound,NA,S
