name,plot_id,species,live_status,dbh_cm,height_m,ht_live_crown,broken_top,dead_top,fading_reduced_foliage,beetle_sign,blister_rust,notes,prefire_ht_live_crown,ht_char,scorch_per,torch_per
overstory_table_big11nov,TEST-01,ABCO,Live,37.5,25.2,10.6,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,PILA,Live,64.5,34.4,16.1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Dead,33.6,25.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Live,59,32.2,12.8,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Live,29.8,21.4,7.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Live,44,28.4,7.3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Dead,26,18.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Live,28.7,19.6,10.7,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Live,50.1,30.9,16.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Live,42.2,25.5,8.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,ABCO,Live,31.8,21.3,8.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,TEST-01,PILA,Dead,128.6,35.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,37.5,25.2,10.6,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,PILA,Live,64.5,34.4,16.1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Dead,33.6,25.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,59,32.2,12.8,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,29.8,21.4,7.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,44,28.4,7.3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Dead,26,18.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,28.7,19.6,10.7,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,50.1,30.9,16.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,42.2,25.5,8.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,ABCO,Live,31.8,21.3,8.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-11,PILA,Dead,128.6,35.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,45.6,28.3,7.8,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Dead,97.4,12.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,20,11.1,1.2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Dead,38.6,18.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,11.7,7.3,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,30.6,17.1,3.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,78.5,45.9,12.2,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,62,31.6,10.5,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Dead,32,14.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,53.9,35.6,10.2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,40.4,24.3,5.1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,23.4,14.9,4.8,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-17,ABCO,Live,45.2,28.8,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,99,99,0,FALSE,FALSE,FALSE,FALSE,FALSE,"NO TREE, FAKE DATA",NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Dead,79.2,47.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,45.4,28.1,5.9,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Dead,22.9,15.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,56.4,36.1,9.7,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,32.5,19.3,9.3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,28.3,14.9,6.6,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,99,99,0,FALSE,FALSE,FALSE,FALSE,FALSE,MISTAKE,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Dead,74,20.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,54.7,31.2,13.5,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,SEGI,Live,215.4,60.2,20.2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Dead,21,13.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,BELOW DEAD ABCO WITH DIAMETER 22.9,NA,NA,NA,NA
overstory_table_big11nov,EAFR-RX-07,ABCO,Live,96.5,47.9,7.1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
