name,plot_id,tag_no,easting,northing,aspect,percent_slope,read_status,date_read,recorders,notes,dens_n,dens_e,dens_s,dens_w,id
plotoverview_table_big11nov,ATWE-RX-40,3734,349477,4036768,34,42,PRE-RX,2024-11-04T00:00:00Z,AE,"ACCIDENTAL MISNAME, IGNORE SHEET",69,72,83,88,33
plotoverview_table_big11nov,ATWE-THIN-01,0,0,0,189,21,PRE-RX,2024-11-05T00:00:00Z,NA,"IGNORE SHEET, PLOT ALREADY READ IN 2023",0,0,0,0,34
plotoverview_table_big11nov,ATWE-THIN-02,3741,349239,4037582,138,35,PRE-RX,2024-11-06T00:00:00Z,"KF,AE,TH,AW",NO FWD MEASUREMENTS TAKEN FOR WEST LINE BECAUSE IT IS ENTIRELY ON BEDROCK. UNABLE TO OBTAIN AN ARROW POINT,69,79,64,70,41
plotoverview_table_big11nov,ATWE-THIN-04,3776,347606,4036380,320,52,PRE-RX,2024-11-07T00:00:00Z,"KF, AE",NA,90,94,72,65,44
plotoverview_table_big11nov,ATWE-THIN-06,3770,348293,4037074,211,49,PRE-RX,2024-11-10T00:00:00Z,AE,LAST PLOT OF THE SEASON :),87,83,91,88,52
plotoverview_table_big11nov,ATWE-THIN-10,3735,349376,4037927,78,37,PRE-RX,2024-11-05T00:00:00Z,"KF, AE, TH, AW",AW = ADAM WATSON,86,91,80,85,37
plotoverview_table_big11nov,ATWE-THIN-11,3742,347944,4036746,214,19,PRE-RX,2024-11-07T00:00:00Z,TH,NA,96,89,96,93,42
plotoverview_table_big11nov,ATWE-THIN-13,3736,349322,4037237,122,42,PRE-RX,2024-11-06T00:00:00Z,TH,NA,79,88,86,79,39
plotoverview_table_big11nov,ATWE-THIN-15,3775,348481,4036531,225,34,PRE-RX,2024-11-08T00:00:00Z,AE,NA,38,19,7,22,45
plotoverview_table_big11nov,ATWE-THIN-18,3771,347851,4037190,213,68,PRE-RX,2024-11-10T00:00:00Z,AE,NA,80,63,58,83,51
plotoverview_table_big11nov,ATWE-THIN-19,3774,351225,4036528,250,7,PRE-RX,2024-11-09T00:00:00Z,AE,DREAMY PLOT,73,57,77,71,48
plotoverview_table_big11nov,ATWE-THIN-23,3715,347969,4036539,232,23,PRE-RX,2024-11-07T00:00:00Z,TH,NA,55,62,73,45,43
plotoverview_table_big11nov,ATWE-THIN-24,3746,349226,4036920,95,58,PRE-RX,2024-11-08T00:00:00Z,"KF, AE, TH",NA,16,27,38,31,47
plotoverview_table_big11nov,ATWE-THIN-25,0,349871,4037742,137,58,PRE-RX,2024-11-05T00:00:00Z,"KF, AE, TH, AW",AW = ADAM WATSON :),95,93,91,94,36
