pt,ground_cvr,lifeform1,lifeform2,lifeform3,lifeform4,plot_id,transect,date,read_status
1,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
2,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
3,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
5,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
6,"WOOD (>1"")",none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
7,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
8,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
9,"WOOD (>1"")",none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
10,"WOOD (>1"")",LUPIN,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
11,"WOOD (>1"")",CECO,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
12,LITT,SEGI,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
13,LITT,CECO,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
16,LITT,GRAMINOID,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
17,LITT,SEGI,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
18,"WOOD (>1"")",none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
19,"ROCK (>1"")",none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
20,LITT,GRAMINOID,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
21,LITT,GRAMINOID,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
22,LITT,GRAMINOID,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
23,LITT,GRAMINOID,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
25,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
27,"ROCK (>1"")",none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
