name,plot_id,species,live_status,ht_class,notes
regen_table_big11nov,EAFR-RX-20,ABCO,Live,1 - (0-15cm),8
regen_table_big11nov,EAFR-RX-20,ABCO,Live,2 - (16-30cm),8
regen_table_big11nov,EAFR-RX-20,ABCO,Live,3 - (31-60cm),48
regen_table_big11nov,EAFR-RX-20,ABCO,Live,4 - (61-100cm),96
regen_table_big11nov,EAFR-RX-20,ABCO,Live,5 - (101-DBH; 137cm),68
regen_table_big11nov,EAFR-RX-20,ABCO,Dead,3 - (31-60cm),20
regen_table_big11nov,EAFR-RX-20,ABCO,Dead,4 - (61-100cm),32
regen_table_big11nov,EAFR-RX-20,SEGI,Dead,4 - (61-100cm),4
regen_table_big11nov,EAFR-RX-07,ABCO,Live,1 - (0-15cm),6
regen_table_big11nov,EAFR-RX-07,ABCO,Live,2 - (16-30cm),104
regen_table_big11nov,EAFR-RX-07,ABCO,Live,3 - (31-60cm),311
regen_table_big11nov,EAFR-RX-07,ABCO,Live,4 - (61-100cm),5
regen_table_big11nov,EAFR-RX-07,CADE,Live,3 - (31-60cm),3
regen_table_big11nov,EAFR-RX-07,PILA,Live,3 - (31-60cm),3
regen_table_big11nov,EAFR-RX-08,CADE,Live,4 - (61-100cm),NA
regen_table_big11nov,EAFR-RX-08,PILA,Live,2 - (16-30cm),2
regen_table_big11nov,EAFR-RX-08,ABCO,Live,4 - (61-100cm),2
regen_table_big11nov,EAFR-RX-08,CADE,Live,2 - (16-30cm),3
regen_table_big11nov,EAFR-RX-08,CADE,Live,3 - (31-60cm),5
regen_table_big11nov,EAFR-RX-08,CADE,Live,1 - (0-15cm),NA
regen_table_big11nov,EAFR-RX-08,ABCO,Live,2 - (16-30cm),3
regen_table_big11nov,EAFR-RX-08,ABCO,Live,3 - (31-60cm),3
regen_table_big11nov,EAFR-RX-08,ABCO,Live,1 - (0-15cm),NA
regen_table_big11nov,EAFR-RX-08,PILA,Live,3 - (31-60cm),NA
regen_table_big11nov,EAFR-RX-08,CADE,Live,2 - (16-30cm),3
regen_table_big11nov,SECR-THIN-05,PIPO,Live,4 - (61-100cm),1
regen_table_big11nov,SECR-THIN-05,PILA,Live,3 - (31-60cm),7
regen_table_big11nov,SECR-THIN-05,ABCO,Live,3 - (31-60cm),2
regen_table_big11nov,SECR-THIN-05,CADE,Live,1 - (0-15cm),20
regen_table_big11nov,SECR-THIN-05,ABCO,Live,1 - (0-15cm),4
regen_table_big11nov,SECR-THIN-05,PILA,Live,1 - (0-15cm),1
regen_table_big11nov,SECR-THIN-05,QUKE,Live,1 - (0-15cm),2
regen_table_big11nov,SECR-THIN-05,QUKE,Live,2 - (16-30cm),1
regen_table_big11nov,SECR-THIN-05,CADE,Live,2 - (16-30cm),3
regen_table_big11nov,SECR-THIN-05,PILA,Live,5 - (101-DBH; 137cm),3
regen_table_big11nov,SECR-THIN-05,PILA,Live,4 - (61-100cm),4
regen_table_big11nov,SECR-THIN-05,QUKE,Live,4 - (61-100cm),3
regen_table_big11nov,SECR-THIN-05,QUKE,Live,3 - (31-60cm),1
regen_table_big11nov,SECR-THIN-05,SEGI,Live,3 - (31-60cm),9
regen_table_big11nov,SECR-THIN-05,SEGI,Live,2 - (16-30cm),1
regen_table_big11nov,SECR-THIN-05,ABCO,Live,2 - (16-30cm),4
regen_table_big11nov,SECR-THIN-05,SEGI,Live,4 - (61-100cm),3
regen_table_big11nov,SECR-THIN-05,SEGI,Dead,4 - (61-100cm),3
regen_table_big11nov,SECR-THIN-05,PIPO,Live,3 - (31-60cm),OVERTOPPED
regen_table_big11nov,SECR-THIN-05,SEGI,Dead,3 - (31-60cm),4
regen_table_big11nov,SECR-THIN-05,SEGI,Dead,2 - (16-30cm),1
regen_table_big11nov,SECR-THIN-05,PILA,Live,2 - (16-30cm),1
regen_table_big11nov,SECR-THIN-05,PILA,Live,4 - (61-100cm),2
regen_table_big11nov,SECR-THIN-05,PILA,Live,5 - (101-DBH; 137cm),1
regen_table_big11nov,SECR-THIN-05,PILA,Live,2 - (16-30cm),1
regen_table_big11nov,SECR-THIN-05,QUKE,Live,1 - (0-15cm),1
regen_table_big11nov,SECR-THIN-05,ABCO,Live,2 - (16-30cm),1
regen_table_big11nov,SECR-THIN-05,ABCO,Live,3 - (31-60cm),1
regen_table_big11nov,SECR-THIN-05,QUKE,Live,1 - (0-15cm),1
